[05:00:48] [UISEditor.main/INFO]: ZXLogger 日志系统 初始化完毕
[05:00:48] [UISEditor.main/INFO]: ===== > ZXNoter Skin Editor < =====
[05:00:48] [UISEditor.main/INFO]: Version: 0.0.0-Alpha Code: 0
[05:00:48] [UISEditor.main/WARNING]: 当前为 [早期开发版本] 请谨慎测试软件功能
[05:00:48] [UISEditor.main/INFO]: ZXNoter Skin Editor启动
[05:00:48] [UISEditor.main/INFO]: 初始化图形系统
[05:00:48] [UISEditor.lambda$main$3/INFO]: 初始化配置
[05:00:56] [UISEditor$10.lambda$new$0/INFO]: Selected File: D:\malody\skin\Benzene_SDVX_V1.0a - 副本\script-key-4K.mui
[05:00:56] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:00:56] [UISComponent.<clinit>/INFO]: 载入基本资源
[05:00:56] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: note-2 没有属性 tex4
[05:00:56] [UISComponent.getImage/WARNING]: note-1 没有属性 tex4
[05:00:56] [UISComponent.getImage/WARNING]: hit-4 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: hit-3 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: hit-2 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: hit-1 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: note-4 没有属性 tex4
[05:00:56] [UISComponent.getImage/WARNING]: note-3 没有属性 tex4
[05:00:56] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: press-4 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: press-3 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: press-2 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: judge-3 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: judge-2 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: judge-4 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: judge-1 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:00:56] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:00:57] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
